Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
3M Co,2020,278000000,8113000000,14982000000,7948000000,6711000000,9122000000,4239000000,18082000000,5384000000,9421000000,6772000000,1878000000,6929000000,12867000000,47344000000,34477000000,32184000000
Abbott Laboratories,2020,-,7901000000,20441000000,11907000000,4968000000,8795000000,5012000000,18527000000,4495000000,9029000000,5357000000,2420000000,9696000000,32784000000,72548000000,39764000000,34608000000
AbbVie Inc,2020,1800000000,17588000000,24173000000,28661000000,3398000000,12149000000,3310000000,77554000000,4616000000,5248000000,11363000000,7755000000,11299000000,13076000000,150565000000.00,137489000000.00,45804000000
"ABIOMED, Inc.",2020,-,314920000,635863000,131885000,256825000,276925000,90088000,-,203009000,164931000,249219000,98759000,341600000,1065466000,1216462000,150996000,840883000
Accenture plc,2020,57658000,8215152000,17749756000,12662590000,6774331000,7220125000,-,54052000,5107839000,1545568000,6513644000,870611000,7462514000,17000536000,37078593000,20078057000,44327039000
"Activision Blizzard, Inc.",2020,746000000,2252000000,10565000000,3100000000,2616000000,3060000000,-,3605000000,2197000000,209000000,2734000000,1150000000,1848000000,15037000000,23109000000,8072000000,8086000000
Adobe Inc,2020,362000000,5727000000,8146000000,5512000000,4176000000,4646000000,-,4117000000,5260000000,1517000000,4237000000,2188000000,4559000000,13264000000,24284000000,11020000000,12868000000
Advance Auto Parts Inc,2020,132300000,969688000,6270001000,4743915000,651015000,916401000,4538199000,1032984000,493021000,1462602000,749907000,-,3731707000,3559512000,11839636000,8280124000,10106321000
Advanced Micro Devices Inc,2020,314000000,1071000000,6143000000,2417000000,1275000000,1531000000,1399000000,330000000,2490000000,641000000,1369000000,1983000000,995000000,5837000000,8962000000,3125000000,9763000000
AES Corp,2020,-,2755000000,5414000000,5362000000,488000000,2262000000,461000000,18374000000,46000000,22826000000,1664000000,-,165000000,3506000000,34603000000,31097000000,9660000000
AFLAC Inc,2020,-,5958000000,-,-,4159000000,-,-,-,4778000000,601000000,-,-,-,33559000000,165086000000.00,131527000000.00,22147000000
"Agilent Technologies, Inc.",2020,48000000,921000000,3415000000,1467000000,842000000,1031000000,720000000,2284000000,719000000,845000000,846000000,495000000,1496000000,4873000000,9627000000,4754000000,5339000000
Air Products & Chemicals Inc,2020,-,3264700000,8684900000,2416700000,2159000000,3418800000,404800000,7430100000,1886700000,11964700000,2237600000,83900000,775900000,12079800000,25168500000,13088700000,8856300000
Akamai Technologies Inc,2020,-,1215000000,1929531000,758170000,616082000,1134429000,-,1906707000,557054000,1478272000,658534000,269315000,1058293000,4251296000,7764130000,3512834000,3198149000
"Alaska Air Group, Inc.",2020,41000000,-234000000,4006000000,4293000000,-1840000000,-1364000000,57000000,2357000000,-1324000000,6211000000,-1775000000,-,1502000000,2988000000,14046000000,11058000000,3566000000
Albemarle Corp.,2020,-,798914000,2206184000,1801849000,373519000,650235000,750237000,2767381000,375764000,5354625000,505812000,59214000,429827000,4268227000,10450946000,6182719000,3128909000
Alexandria Real Estate Equities Inc,2020,-,882510000,605038000,1820814000,819023000,1638431000,-,7563286000,770959000,184744000,415222000,-,133341000,11725712000,22827878000,11102166000,1885637000
Align Technology Inc,2020,161000000,662174000,1849538000,1325601000,378949000,455924000,139237000,-,1775888000,734721000,387171000,175307000,1200757000,3233865000,4829683000,1595818000,2471941000
Allegion Plc,2020,-,490300000,1145000000,521500000,365100000,461800000,283100000,1429400000,314300000,294900000,441400000,-,635700000,829400000,3069400000,2240000000,2719900000
Alliant Energy Corp,2020,-,501000000,887000000,1297000000,506000000,1396000000,217000000,6769000000,624000000,13884000000,740000000,-,0,5688000000,17710000000,12022000000,3416000000
Allstate Corp,2020,-,5491000000,-,-,6959000000,-,-,-,5576000000,1057000000,-,-,-,30217000000,125987000000.00,95770000000,44791000000
