Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
3M Co,2020,0.86,19.64,1.89,20.85,28.34,48.41,13.54,8.95,3.97,1.41,14.86,19.90,3.42,16.73,21.04,1.23,5.84,337853,11.67,46.83,21.70,21.53,0.70,1.47
Abbott Laboratories,2020,-,10,1.72,14.36,25.41,56.65,10.71,6.91,3.22,0.57,11.76,12.45,4.04,12.99,15.48,1.14,6.99,316637,6.38,14.04,10.60,28.02,0.49,0.57
AbbVie Inc,2020,3.93,-36.02,0.84,7.42,26.52,66.41,4.98,2.20,6.01,5.93,-2.98,3.49,11.13,10.08,24.81,0.60,16.93,971890,3.84,187.74,14.37,24.67,0.38,6.58
"ABIOMED, Inc.",2020,-,20.95,4.82,30.54,32.93,82.01,32.56,7.41,1.77,-,41.43,13.56,5.41,24.14,29.64,4,11.74,545954,17.83,20.22,24.82,40.62,0.74,-
Accenture plc,2020,0.13,23.46,1.40,15.28,16.29,31.53,-,-,-,0,13.72,4.17,30.11,11.52,14.69,0.67,1.96,87363,15.24,32.44,41.25,16.84,1.32,0
"Activision Blizzard, Inc.",2020,9.23,16.02,3.41,32.35,37.84,72.05,35.05,-,-,0.24,32.30,0.90,34.91,27.17,33.81,3.13,14.22,848832,10.20,15.74,15.98,22.85,0.38,0.24
Adobe Inc,2020,2.81,-25.96,1.48,32.45,36.11,86.62,36.53,-,-,0.31,10.85,6.25,9.18,40.88,32.93,1.34,17,573075,23.42,44.33,26.51,35.43,0.57,0.31
Advance Auto Parts Inc,2020,1.31,24.27,1.32,6.44,9.07,44.34,15.99,38.33,1.25,0.29,12.89,12.35,6.87,4.88,7.42,0.33,-,146219,4.20,13.65,16.60,36.92,0.86,0.29
Advanced Micro Devices Inc,2020,3.22,-94.90,2.54,13.06,15.68,44.53,35.10,15.61,4.55,0.06,41.58,7.15,17.16,25.50,14.02,1.80,20.31,776970,33.31,57.64,28.96,10.19,1.31,0.06
AES Corp,2020,-,44.26,1.01,5.05,23.42,27.88,2.16,1.33,14.70,5.24,0.15,65.97,0.42,0.48,17.23,0.51,-,1174830,0.13,1.24,7.02,1.71,0.28,5.65
AFLAC Inc,2020,-,-14.88,-,18.78,-,-,-,-,-,-,-,0.36,37.37,21.57,-,-,-,3540069,3,15.24,-,-,0.14,0.23
"Agilent Technologies, Inc.",2020,0.90,14.61,2.33,15.77,19.31,53.14,12.09,7.48,3.58,0.47,20.23,8.78,6.28,13.47,15.85,1.68,9.27,324659,7.52,14.91,11.73,28.02,0.56,0.48
Air Products & Chemicals Inc,2020,-,22.16,3.59,24.38,38.60,33.85,20.47,1.61,14.77,0.62,24.90,47.54,0.79,21.30,25.27,3.19,0.95,458215,8.53,16.27,12.99,8.76,0.40,0.65
Akamai Technologies Inc,2020,-,7.45,2.54,19.26,35.47,64.58,16.46,-,-,0.45,15.09,19.04,2.43,17.42,20.59,2.32,8.42,381144,7.52,14.05,11.27,33.09,0.43,0.45
"Alaska Air Group, Inc.",2020,1.15,-,0.93,-51.60,-38.25,43.05,-,0.41,31.49,0.79,-2.04,44.22,0.54,-37.13,-49.78,0.89,-,161670,-9.77,-36.08,-28.75,42.12,0.26,1.17
Albemarle Corp.,2020,-,14.57,1.22,11.94,20.78,31.80,6.92,7.18,2.81,0.65,3.87,51.24,0.61,12.01,16.17,0.74,1.89,528875,3.69,9.14,6.81,13.74,0.31,0.84
Alexandria Real Estate Equities Inc,2020,-,-,0.33,43.43,86.89,71.88,2.42,-,-,0.65,-5.33,0.81,9.84,40.89,22.02,0.33,-,4001032,3.73,7.47,2.37,7.07,0.09,0.65
Align Technology Inc,2020,6.51,-368.64,1.40,15.33,18.44,71.33,-,2.88,5.64,-,10.85,15.21,3.61,71.84,15.66,1.22,7.09,136424,48.32,77.34,16.86,48.58,0.67,-
Allegion Plc,2020,-,13.94,2.20,13.42,16.98,43.34,8.79,9.22,5.57,1.72,20.31,9.61,9.25,11.56,16.23,1.52,-,235867,10.38,39.51,19.81,23.37,0.90,1.72
Alliant Energy Corp,2020,-,-11.26,0.68,14.81,40.87,42.83,2.69,1.23,8.79,1.19,-2.32,78.40,0.25,18.27,21.66,0.21,-,1009383,3.62,11.43,6,0,0.20,1.26
Allstate Corp,2020,-,19.87,-,15.54,-,-,-,-,-,-,-,0.84,40.57,12.45,-,-,-,1059502,4.52,19.78,-,-,0.36,0.26
Alphabet Inc,2020,2.96,16.25,3.07,26.34,32.90,53.58,-,0.23,98.13,0.06,36.75,26.52,2.30,22.06,22.59,2.95,15.11,1345358,13.49,18.94,18.58,15.89,0.61,0.06
Altria Group Inc,2020,0.10,34.80,0.79,26.77,32.09,49.80,8.99,4.15,6.17,9.85,-4.10,4.24,13.01,17.08,41.57,0.56,0.50,3673457,9.22,98.33,32.58,8.24,0.54,10.38
Amazon.com Inc,2020,2.82,11.84,1.05,6.26,10.74,39.57,20.97,7.41,10.53,0.34,1.98,35.22,4.14,5.53,5.93,0.86,-,296617,7.79,27.37,21.68,33.66,1.41,0.34
Amcor plc,2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ameren Corp,2020,-,15.02,0.76,17.81,44.82,40.99,3.33,1.63,6.74,1.24,-1.65,83.69,0.23,15.03,22.44,0.40,-,629225,2.85,10.22,6.76,-,0.19,1.30
American Airlines Group Inc,2020,0.29,-,0.67,-66.06,-45.55,31.17,-,2.60,6.89,-,-8.83,51.12,0.52,-51.25,-60.11,0.53,-,168351,-14.53,-,-41.63,66.18,0.28,-
American Electric Power Co Inc,2020,-,1.89,0.44,14.39,41.68,46.69,2.56,1.62,6.42,1.41,-6.90,79.13,0.24,14.75,20.03,0.27,-,886266,2.80,10.90,5.76,0,0.19,1.63
American Express Co.,2020,-,27.03,-,11.25,-,-,-,-,-,-,-,2.62,7.73,8.21,-,-,-,597813,1.60,13.58,-,-,0.20,1.87
American International Group Inc,2020,-,-,-,-16.68,-,-,-,-,-,-,-,-,-,-13.59,-,-,-,969256,-1.07,-8.98,-,-,0.08,0.57
American Tower Corp (New),2020,-,7.12,0.79,22.65,43.51,72.30,3.83,-,-,6.96,-1.59,27.12,0.64,21.02,35.91,0.68,-,1427470,3.75,36.86,9.22,9.68,0.18,7.15
"American Water Works Co, Inc.",2020,-,23.27,0.66,24.46,48.69,57.06,3.16,0.19,35.65,1.45,-3.94,79.58,0.20,18.77,33.04,0.37,-,538097,2.98,11.25,7.55,0,0.16,1.70
Ameriprise Financial Inc,2020,-,16.22,0.74,15.39,18.04,42.97,12.30,-,-,0.81,-3.11,-,-,12.89,16.75,0.74,-,964755,0.96,26.39,18.52,26.22,0.07,0.84
AmerisourceBergen Corp.,2020,-,-,0.98,-2.79,-2.56,2.73,-,28.43,15.62,-,-1.80,3.35,116.35,-1.80,-2.70,0.54,-,8607959,-8.15,-365.53,-97.80,5.04,4.54,-
AMETEK Inc,2020,-,19.39,2.34,23.84,27.97,34,11.94,5.40,5.06,0.38,13.97,5.08,8.42,19.22,22.64,1.68,3.50,274401,8.61,15.73,12.62,11.36,0.45,0.41
Amgen Inc,2020,-,10.68,1.81,31.99,38.46,75.77,9.08,6.18,1.65,3.50,15.08,7.77,5.17,28.57,35.95,1.35,16.55,1043397,11.81,75.93,22.24,22.54,0.41,3.51
Amphenol Corp.,2020,-,20.52,2.38,17.75,22.68,30.98,14.20,11.86,4.28,0.68,25.85,8.55,8.35,13.99,19.05,1.60,3.03,107193,10.37,24.21,18.79,11.79,0.74,0.72
Analog Devices Inc,2020,-,6.93,1.84,23.41,41.25,65.87,7.93,2.83,3.14,0.43,5.37,5.22,4.80,21.79,26.74,1.31,18.75,353362,5.71,10.33,8.75,11.78,0.26,0.43
Ansys Inc.,2020,-,12.16,2.36,29.38,31.39,86.60,83.91,-,-,0.19,16.67,1.62,18.62,25.81,29.52,2.25,21.14,349313,8.03,11.46,11.19,34.96,0.31,0.19
Anthem Inc,2020,0.46,26.71,1.55,5.12,6.58,20.41,8.96,-,-,0.58,18.82,4.02,36.74,3.75,5.76,1.42,-,1457243,5.56,14.05,13.33,14.32,1.48,0.60
Aon plc (Ireland),2020,-,18.20,1.07,22.24,28.94,-,8.48,-,-,2.08,3.90,1.87,18.09,17.79,25.13,0.24,-,220715,6.38,57.17,25.28,71.14,0.36,2.21
APA Corp,2020,-,-,1.41,-112.35,-61.30,59.19,-,3.86,3.54,-,4.22,69.19,0.37,-112.81,-106.15,0.89,-,1890946,-31.42,-348.81,-45.34,6.73,0.28,-
Apple Inc,2020,-,14.43,1.36,24.44,28.14,38.23,-,1.25,41.52,1.51,11.83,11.35,7.43,20.91,24.15,1.22,6.83,1872579,17.38,73.89,35.33,7.25,0.83,1.72
"Applied Materials, Inc.",2020,-,13.13,3,24.22,27.24,44.72,21.93,17.47,2.58,0.52,39.86,7.18,11.01,21.04,25.37,1.95,12.99,718719,17.54,38.62,29.62,6.35,0.83,0.52
Aptiv PLC,2020,-,2.51,1.85,14.95,20.89,14.85,4.38,7.40,8.61,0.51,19.51,18.84,3.94,13.81,5.23,1.39,-,86293,11.61,30.69,6.76,7.47,0.84,0.52
Archer Daniels Midland Co.,2020,-,7.75,1.50,2.03,3.66,6.92,5.09,23.56,5.74,0.39,18.31,20.01,6.40,2.75,1.98,0.27,0.25,1645620,3.77,9.01,4.39,4.18,1.37,0.50
Arista Networks Inc,2020,-,14.12,4.99,31.88,32.62,63.94,-,10.12,2.31,-,64.76,0.68,64.64,27.38,30.19,4.25,21,884493,14.18,20.36,22.45,12.76,0.52,-
Assurant Inc,2020,-,14.09,-,5.10,-,-,-,-,-,-,-,1.10,21.72,4.38,-,-,-,713987,0.99,7.59,-,-,0.23,0.38
AT&T Inc,2020,3.06,-,0.82,-1.72,14.70,53.47,0.81,-,-,0.95,-2.17,24.22,1.33,-3.01,3.73,0.47,0.70,744742,-0.96,-2.98,1.92,22.15,0.32,0.97
Atmos Energy Corp.,2020,-,19.46,0.60,26.47,45.11,76.65,9.76,0.77,5.17,0.67,-2.03,86.95,0.22,21.32,29.21,0.31,-,599367,4.18,9.57,7.80,22.32,0.20,0.67
Autodesk Inc,2020,1.29,27.24,0.83,9,13.40,90.08,6.35,-,-,-,-9.06,2.62,21.03,6.55,10.48,0.78,25.99,324188,3.93,-,17.95,52.41,0.60,-
Automatic Data Processing Inc.,2020,-,22.50,1.05,21.81,23.29,42.12,139.01,-,-,0.17,3.67,1.80,19.82,16.91,21.53,0.14,4.62,250861,6.07,44.11,41.34,20.58,0.36,0.35
"AutoZone, Inc.",2020,0.61,21.82,1.08,17.55,22.37,53.60,12.02,31.01,1.33,-,3.67,31.26,2.84,13.72,19.14,0.34,-,126667,14.29,-,58.76,34.46,1.04,-
"AvalonBay Communities, Inc.",2020,-,-0.40,1.04,35.55,75.59,76.10,3.22,-,-,0.70,0.08,-,-,35.96,29.93,0.61,-,742710,4.31,7.59,3.75,2.62,0.12,0.70
Avery Dennison Corp,2020,-,24.10,1.25,10.58,13.79,27.59,11.56,11.79,7.32,1.38,8.06,22.09,5.37,7.97,11.61,0.77,1.62,214336,9.45,40.68,23.61,15.21,1.19,1.43
Baker Hughes Company,2020,-,-,1.61,-73.42,-67.27,15.45,-,11.63,3.88,0.52,16.39,14.10,3.56,-48.01,-77.17,0.95,2.87,375426,-21.70,-56.93,-65.30,11.61,0.45,0.59
Ball Corp,2020,-,14.41,1.05,5.83,12.66,20.86,3.17,7.41,7.10,2.38,1.27,29.32,2.39,4.97,8.51,0.70,0.40,546456,3.28,18.75,9.16,4.46,0.66,2.38
Bank of America Corp,2020,-,5.80,-,20.26,-,-,-,-,-,-,-,0.39,8.67,19.09,-,-,-,438952,0.68,6.64,-,-,0.04,0.96
Bank of New York Mellon Corp,2020,-,18.85,-,26.38,-,-,-,-,-,-,-,0.77,4.68,21.35,-,-,-,348324,0.85,8.27,-,-,0.04,0.57
